,NAME,Population,stateNo,countyNo,County,Year
329,"Yuba County, California",73059.0,06,115,Yuba,2014
330,"Alameda County, California",1559308.0,06,001,Alameda,2014
331,"Alpine County, California",1202.0,06,003,Alpine,2014
332,"Amador County, California",37159.0,06,005,Amador,2014
333,"Butte County, California",221578.0,06,007,Butte,2014
334,"Calaveras County, California",44921.0,06,009,Calaveras,2014
335,"Colusa County, California",21424.0,06,011,Colusa,2014
336,"Contra Costa County, California",1081232.0,06,013,Contra Costa,2014
337,"Del Norte County, California",28066.0,06,015,Del Norte,2014
338,"El Dorado County, California",181465.0,06,017,El Dorado,2014
339,"Fresno County, California",948844.0,06,019,Fresno,2014
340,"Glenn County, California",28019.0,06,021,Glenn,2014
341,"Humboldt County, California",134876.0,06,023,Humboldt,2014
342,"Imperial County, California",177026.0,06,025,Imperial,2014
343,"Inyo County, California",18439.0,06,027,Inyo,2014
344,"Kern County, California",857730.0,06,029,Kern,2014
345,"Kings County, California",151390.0,06,031,Kings,2014
346,"Lake County, California",64209.0,06,033,Lake,2014
347,"Lassen County, California",33356.0,06,035,Lassen,2014
348,"Alameda County, California",1584983.0,06,001,Alameda,2015
349,"Alpine County, California",1131.0,06,003,Alpine,2015
350,"Amador County, California",36995.0,06,005,Amador,2015
351,"Butte County, California",222564.0,06,007,Butte,2015
352,"Calaveras County, California",44767.0,06,009,Calaveras,2015
353,"Colusa County, California",21396.0,06,011,Colusa,2015
354,"Contra Costa County, California",1096068.0,06,013,Contra Costa,2015
355,"Del Norte County, California",27788.0,06,015,Del Norte,2015
356,"El Dorado County, California",182093.0,06,017,El Dorado,2015
357,"Fresno County, California",956749.0,06,019,Fresno,2015
358,"Glenn County, California",28029.0,06,021,Glenn,2015
359,"Humboldt County, California",135034.0,06,023,Humboldt,2015
360,"Imperial County, California",178206.0,06,025,Imperial,2015
361,"Inyo County, California",18373.0,06,027,Inyo,2015
362,"Kern County, California",865736.0,06,029,Kern,2015
363,"Kings County, California",150998.0,06,031,Kings,2015
364,"Lake County, California",64158.0,06,033,Lake,2015
